case_id,title,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification_method
CASE-001,VLAN 10 Access Port Misconfiguration on Switch 1,VLAN,Host PC1 (192.168.10.15/24) cannot ping Host PC2 (192.168.10.20/24) on the same floor.,PC1 connected to SW1 Fa0/1. PC2 connected to SW1 Fa0/2. Both hosts are expected to be in VLAN 10 (Sales).,"{""show vlan brief"": ""VLAN Name Status Ports\n---- -------------------------------- --------- -------------------------------\n1 default active Fa0/2, Fa0/3, Fa0/4\n10 Sales active Fa0/1\n20 Marketing active"", ""show interfaces FastEthernet0/2 switchport"": ""Name: Fa0/2\nSwitchport: Enabled\nAdministrative Mode: static access\nOperational Mode: static access\nAccess Mode VLAN: 1 (default)"", ""show ip interface brief"": ""Interface IP-Address OK? Method Status Protocol\nFastEthernet0/1 unassigned YES unset up up\nFastEthernet0/2 unassigned YES unset up up""}",Switch port Fa0/2 is configured in VLAN 1 (default) instead of VLAN 10.,Layer 2,VLAN Membership,HIGH,show running-config interface Fa0/2,"interface Fa0/2
 switchport access vlan 10",ping 192.168.10.20 from PC1
CASE-002,Trunk Allowed VLAN List Missing VLAN 20,VLAN,Engineering department hosts in VLAN 20 cannot communicate between SW1 and SW2 across the building trunk link.,"SW1 Gi0/1 connected to SW2 Gi0/1 via Trunk link carrying VLAN 10, 20, 30.","{""show interfaces trunk"": ""Port Mode Encapsulation Status Native vlan\nGi0/1 on 802.1q trunking 1\n\nPort Vlans allowed on trunk\nGi0/1 10,30\n\nPort Vlans allowed and active in management domain\nGi0/1 10,30"", ""show vlan brief"": ""10 Sales active\n20 Engineering active\n30 Management active""}","Trunk interface Gi0/1 on SW1 has switchport trunk allowed vlan 10,30, omitting VLAN 20.",Layer 2,802.1Q Trunking,HIGH,show interfaces Gi0/1 switchport,"interface Gi0/1
 switchport trunk allowed vlan add 20",ping 192.168.20.1 from SW2 SVI 20
CASE-003,Uncreated VLAN 30 in Switch Database,VLAN,Voice IP phones connected to SW3 Fa0/12 fail to register and get no connectivity.,"Fa0/12 configured for switchport access vlan 30, but VLAN 30 is missing from vlan.dat.","{""show vlan brief"": ""1 default active Fa0/1..Fa0/11\n10 Sales active Fa0/13..Fa0/24\n(VLAN 30 is NOT listed)"", ""show running-config interface Fa0/12"": ""interface FastEthernet0/12\n switchport mode access\n switchport access vlan 30""}","VLAN 30 does not exist in the switch VLAN database, causing Fa0/12 to be inactive.",Layer 2,VLAN Creation,MEDIUM,show vlan id 30,"vlan 30
 name Voice",show vlan brief | include 30
CASE-004,Native VLAN Mismatch on Trunk Link,VLAN,CDP reports Native VLAN mismatch errors between SW1 and SW2. Traffic on VLAN 1 leaks unexpectedly.,SW1 Gi0/2 (Native VLAN 1) connected to SW2 Gi0/2 (Native VLAN 99).,"{""show interfaces Gi0/2 switchport"": ""SW1 Gi0/2:\nAdministrative Mode: trunk\nOperational Mode: trunk\nTrunking Native Mode VLAN: 1 (default)"", ""show logging"": ""%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/2 (1), with SW2 GigabitEthernet0/2 (99).""}",SW1 native VLAN is set to 1 while SW2 native VLAN is set to 99.,Layer 2,802.1Q Native VLAN,MEDIUM,show interfaces trunk,"interface Gi0/2
 switchport trunk native vlan 99",show interfaces trunk | include Native
CASE-005,Host Default Gateway Outside Local Subnet,Gateway,PC3 (192.168.10.50/24) cannot reach any off-subnet destinations or the Internet.,Router R1 G0/0/0 is 192.168.10.1/24. PC3 IP is 192.168.10.50/24.,"{""ipconfig /all (PC3)"": ""IPv4 Address: 192.168.10.50\nSubnet Mask: 255.255.255.0\nDefault Gateway: 192.168.20.1"", ""show ip interface brief (R1)"": ""GigabitEthernet0/0/0 192.168.10.1 YES manual up up""}",PC3 default gateway is set to 192.168.20.1 (wrong subnet) instead of 192.168.10.1.,Layer 3,Default Gateway Configuration,HIGH,ipconfig /all,Set PC3 Default Gateway to 192.168.10.1 in network settings.,ping 192.168.10.1 from PC3
CASE-006,Router Subinterface IP Address Typo,Gateway,All hosts in VLAN 20 (192.168.20.0/24) fail to reach their default gateway for Router-on-a-Stick.,R1 G0/0/0.20 provides Inter-VLAN routing for VLAN 20.,"{""show ip interface brief (R1)"": ""GigabitEthernet0/0/0.20 192.168.200.1 YES manual up up"", ""show running-config interface Gi0/0/0.20"": ""interface GigabitEthernet0/0/0.20\n encapsulation dot1Q 20\n ip address 192.168.200.1 255.255.255.0""}",R1 G0/0/0.20 subinterface is misconfigured with IP 192.168.200.1 instead of 192.168.20.1.,Layer 3,Inter-VLAN Routing Subinterface,CRITICAL,show ip interface brief,"interface Gi0/0/0.20
 ip address 192.168.20.1 255.255.255.0",ping 192.168.20.1 from host in VLAN 20
CASE-007,Subinterface Missing Encapsulation Dot1Q Command,Gateway,Subinterface G0/0/0.30 shows down/down and refuses to route VLAN 30 traffic.,R1 router-on-a-stick subinterface for VLAN 30.,"{""show interface Gi0/0/0.30"": ""GigabitEthernet0/0/0.30 is down, line protocol is down\n  Hardware is GigabitEthernet, address is 0001.C412.3301"", ""show running-config interface Gi0/0/0.30"": ""interface GigabitEthernet0/0/0.30\n ip address 192.168.30.1 255.255.255.0""}",Missing 'encapsulation dot1Q 30' command on subinterface G0/0/0.30.,Layer 3,Dot1Q Encapsulation,HIGH,show running-config interface Gi0/0/0.30,"interface Gi0/0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0",show ip interface brief | include 0.30
CASE-008,DHCP Pool Exhaustion in Office Subnet,DHCP,New clients connecting to the network obtain APIPA addresses (169.254.x.x).,Router R1 acts as DHCP server with pool size 10 IPs (192.168.1.10 - 192.168.1.19).,"{""show ip dhcp binding"": ""IP address Client-ID/Hardware address Lease expiration Type\n192.168.1.10 0100.1122.3344.01 Infinite Automatic\n192.168.1.11 0100.1122.3344.02 Infinite Automatic\n...\n192.168.1.19 0100.1122.3344.10 Infinite Automatic\nTotal bindings: 10"", ""show ip dhcp pool"": ""Pool Office_Pool :\n Utilization mark (red/blue) : 100 / 0\n Subnet size (Standard) : 10\n Total addresses : 10\n Leased addresses : 10\n Pending addresses : 0""}",DHCP pool address range is completely exhausted (100% utilization).,Layer 7,DHCP Pool Sizing,CRITICAL,show ip dhcp pool,"ip dhcp pool Office_Pool
 network 192.168.1.0 255.255.255.0",ipconfig /renew on client
CASE-009,Missing IP Helper-Address for Cross-Subnet DHCP,DHCP,Clients in VLAN 40 (192.168.40.0/24) fail to receive DHCP leases from centralized DHCP Server at 10.1.1.50.,R1 G0/0/0.40 receives broadcast DHCP DISCOVER from VLAN 40.,"{""show running-config interface Gi0/0/0.40"": ""interface GigabitEthernet0/0/0.40\n encapsulation dot1Q 40\n ip address 192.168.40.1 255.255.255.0"", ""ipconfig /all (Client)"": ""Autoconfiguration IPv4 Address: 169.254.182.91""}",Interface G0/0/0.40 lacks 'ip helper-address 10.1.1.50' to relay DHCP broadcast requests to unicast.,Layer 7,DHCP Relay / IP Helper,HIGH,show ip interface Gi0/0/0.40,"interface Gi0/0/0.40
 ip helper-address 10.1.1.50",ipconfig /renew from client in VLAN 40
CASE-010,DHCP Excluded-Addresses Including Default Gateway causing Conflict,DHCP,Router logs IP conflict notifications for 192.168.50.1.,R1 interface IP is 192.168.50.1. DHCP pool started handing out 192.168.50.1.,"{""show running-config | section dhcp"": ""ip dhcp pool VLAN50_POOL\n network 192.168.50.0 255.255.255.0\n default-router 192.168.50.1"", ""show ip dhcp conflict"": ""IP Address Detection Method Detection Time\n192.168.50.1 Ping 08:30:15""}",Missing 'ip dhcp excluded-address 192.168.50.1 192.168.50.10' configuration.,Layer 7,DHCP Excluded Addresses,MEDIUM,show running-config | include excluded-address,ip dhcp excluded-address 192.168.50.1 192.168.50.10,show ip dhcp conflict
